Channel,User,Ts,Year,Month,Day,Hour,Minute,Second
announcements,U2WQ03HBJ,1478253134.000002,70,0,0,3,37,33
announcements,U2WQ03HBJ,1478253135.000003,70,0,0,3,37,33
announcements,U2WT4FWU8,1478253135.000004,70,0,0,3,37,33
announcements,U2Y7DH19U,1478253135.000005,70,0,0,3,37,33
announcements,U2Y7A9163,1478253135.000006,70,0,0,3,37,33
announcements,U2WQZKASV,1478253135.000007,70,0,0,3,37,33
announcements,U2XFGAC57,1478253135.000008,70,0,0,3,37,33
announcements,U2Y7DH19U,1478550277.000002,70,0,0,3,42,30
announcements,U2WT4FWU8,1478613171.000002,70,0,0,3,43,33
announcements,U2WQ03HBJ,1478613209.000003,70,0,0,3,43,33
announcements,U2WT4FWU8,1478613234.000004,70,0,0,3,43,33
announcements,U2XFGAC57,1478684379.000002,70,0,0,3,44,44
announcements,U2WT4FWU8,1478684622.000003,70,0,0,3,44,44
announcements,U2XFGAC57,1478684754.000004,70,0,0,3,44,44
announcements,U2Y7DH19U,1478810646.000002,70,0,0,3,46,50
announcements,U2Y7DH19U,1479204018.000002,70,0,0,3,53,24
announcements,U2WT4FWU8,1479207618.000002,70,0,0,3,53,27
announcements,U2Y7DH19U,1479208580.000003,70,0,0,3,53,28
announcements,U2WT4FWU8,1479208620.000004,70,0,0,3,53,28
announcements,U2Y7DH19U,1479208662.000005,70,0,0,3,53,28
announcements,U2XFGAC57,1479280461.000002,70,0,0,3,54,40
announcements,U2Y7DH19U,1479388316.000002,70,0,0,3,56,28
announcements,U2WQ03HBJ,1479388509.000003,70,0,0,3,56,28
announcements,U2XFGAC57,1479395187.000002,70,0,0,3,56,35
announcements,U2XFGAC57,1479395257.000003,70,0,0,3,56,35
announcements,U2WQZKASV,1479420539.000002,70,0,0,3,57,0
announcements,U2Y7A9163,1479671072.000002,70,0,0,4,1,11
announcements,U2Y7DH19U,1479717835.000002,70,0,0,4,1,57
announcements,U2XFGAC57,1479721685.000002,70,0,0,4,2,1
announcements,U2WT4FWU8,1479721848.000003,70,0,0,4,2,1
announcements,U2Y7DH19U,1479722440.000004,70,0,0,4,2,2
announcements,U2Y7DH19U,1479731520.000005,70,0,0,4,2,11
announcements,U2XFGAC57,1479742664.000006,70,0,0,4,2,22
announcements,U2Y7DH19U,1479799716.000002,70,0,0,4,3,19
announcements,U2XFGAC57,1479801957.000003,70,0,0,4,3,21
announcements,U2XFGAC57,1479802048.000004,70,0,0,4,3,22
announcements,U2Y7DH19U,1479807756.000005,70,0,0,4,3,27
announcements,U2Y7DH19U,1479807930.000006,70,0,0,4,3,27
announcements,null,1479808801.000007,70,0,0,4,3,28
announcements,U2WQ03HBJ,1479812391.000008,70,0,0,4,3,32
announcements,U2WQ03HBJ,1479812494.000009,70,0,0,4,3,32
announcements,U2WQ03HBJ,1479812623.000010,70,0,0,4,3,32
announcements,U2XFGAC57,1479818100.000011,70,0,0,4,3,38
announcements,U2XFGAC57,1479818108.000012,70,0,0,4,3,38
